item_name,period2,Textbox214,stat_year,textbox2,footnote_code,pctChg3,Textbox206
"Apples, McIntosh    
 Base year 1982=100",Jan,"% chg.
JAN ê",2023,233.7,,3.00%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Feb,"% chg.
FEB ê",2023,234.6,,2.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Mar,"% chg.
MAR ê",2023,230.5,,0.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Apr,"% chg.
APR ê",2023,264,,15.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",May,"% chg.
MAY ê",2023,264,,15.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jun,"% chg.
JUN ê",2023,264,,15.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jul,"% chg.
JUL ê",2023,274.2,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Aug,"% chg.
AUG ê",2023,274.2,P,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Sep,"% chg.
SEP ê",2023,255.7,P,4.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Oct,"% chg.
OCT ê",2023,254,P,3.80%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Nov,"% chg.
NOV ê",2023,249,P,11.10%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Dec,"% chg.
DEC ê",2023,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Avg,"% chg.
AN AV ê",2023,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jan,"% chg.
JAN ê",2022,227,,13.30%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Feb,"% chg.
FEB ê",2022,228.8,,14.20%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Mar,"% chg.
MAR ê",2022,228.8,,14.20%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Apr,"% chg.
APR ê",2022,228.8,,14.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",May,"% chg.
MAY ê",2022,228.8,,14.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jun,"% chg.
JUN ê",2022,228.8,,7.60%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jul,"% chg.
JUL ê",2022,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Aug,"% chg.
AUG ê",2022,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Sep,"% chg.
SEP ê",2022,244.6,,3.80%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Oct,"% chg.
OCT ê",2022,244.6,,6.00%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Nov,"% chg.
NOV ê",2022,224.1,,-0.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Dec,"% chg.
DEC ê",2022,235.7,,3.80%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Avg,"% chg.
AN AV ê",2022,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jan,"% chg.
JAN ê",2021,200.4,,9.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Feb,"% chg.
FEB ê",2021,200.4,,9.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Mar,"% chg.
MAR ê",2021,200.4,,10.20%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Apr,"% chg.
APR ê",2021,199.5,,7.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",May,"% chg.
MAY ê",2021,199.5,,6.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jun,"% chg.
JUN ê",2021,212.6,,13.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jul,"% chg.
JUL ê",2021,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Aug,"% chg.
AUG ê",2021,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Sep,"% chg.
SEP ê",2021,235.7,,14.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Oct,"% chg.
OCT ê",2021,230.7,,10.90%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Nov,"% chg.
NOV ê",2021,225.6,,8.70%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Dec,"% chg.
DEC ê",2021,227,,14.10%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Avg,"% chg.
AN AV ê",2021,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jan,"% chg.
JAN ê",2020,182.7,,-6.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Feb,"% chg.
FEB ê",2020,182.7,,-6.90%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Mar,"% chg.
MAR ê",2020,181.9,,-3.60%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Apr,"% chg.
APR ê",2020,185.6,,-4.00%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",May,"% chg.
MAY ê",2020,187.5,,-3.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jun,"% chg.
JUN ê",2020,187.5,,-3.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Jul,"% chg.
JUL ê",2020,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Aug,"% chg.
AUG ê",2020,NA,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Sep,"% chg.
SEP ê",2020,205.9,,NA,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Oct,"% chg.
OCT ê",2020,208,,12.50%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Nov,"% chg.
NOV ê",2020,207.5,,13.40%,"WPU01110216 Apples, McIntosh"
"Apples, McIntosh    
 Base year 1982=100",Dec,"% chg.
DEC ê",2020,198.9,,8.90%,"WPU01110216 Apples, McIntosh"
